,Job Title,Job ID,Job Tags,Company Name,Job Loc,List of infos from company,Recommandation de l'entreprise,CEO Approval,CEO,Note globale,lightbulb,verified,company,checklist,job,,,EcoCompany name,Ecoscore
0,Chef/fe de projet Data Analyst et solutions digitales,3728085387,"[('job', 'Sur site Temps plein Manager'), ('company', '+ de 10 000 employés · Services professionnels'), ('checklist', 'Compétences : Esprit, Compétences culinaires et 8 en plus'), ('verified', 'Consultez les vérifications liées à cette offre d’emploi.\nConsultez les vérifications liées à cette offre d’emploi.\nTout afficher'), ('lightbulb', 'Découvrez comment vous vous positionnez par rapport à plus de 100 autres candidats. Essai Premium pour 0 EUR')]",Arcadis,"{'Ville': 'Paris', 'Région': 'Île-de-France', 'Pays': 'France'}",(),86%,91%,,"4,1
★★★★★",Découvrez comment vous vous positionnez par rapport à plus de 100 autres candidats. Essai Premium pour 0 EUR,"Consultez les vérifications liées à cette offre d’emploi.
Consultez les vérifications liées à cette offre d’emploi.
Tout afficher",+ de 10 000 employés · Services professionnels,"Compétences : Esprit, Compétences culinaires et 8 en plus",Sur site Temps plein Manager,,,ARCADIS ESG,1
1,Senior Biostatistician,3784436449,"[('job', 'Hybride Temps plein Manager'), ('company', '501-1 000 employés · Services de recherche'), ('checklist', 'Compétences : Normes CDISC, Modèle SDTM et 8 en plus'), ('verified', 'Consultez les vérifications liées à cette offre d’emploi.\nConsultez les vérifications liées à cette offre d’emploi.\nTout afficher'), ('lightbulb', 'Découvrez comment vous vous positionnez par rapport à 39 candidats. Essai Premium pour 0 EUR')]",Cerner Enviza,"{'Ville': 'Ville de Paris', 'Région': 'Île-de-France', 'Pays': 'France'}",(),None,None,none,None,Découvrez comment vous vous positionnez par rapport à 39 candidats. Essai Premium pour 0 EUR,"Consultez les vérifications liées à cette offre d’emploi.
Consultez les vérifications liées à cette offre d’emploi.
Tout afficher",501-1 000 employés · Services de recherche,"Compétences : Normes CDISC, Modèle SDTM et 8 en plus",Hybride Temps plein Manager,,,Cerner Enviza,0
2,Senior Quantitative Researcher,3806785203,"[('job', 'Hybride Temps plein Manager'), ('company', '1 001-5 000 employés · Services professionnels'), ('checklist', 'Compétences : Recherche fondamentale'), ('verified', 'Consultez les vérifications liées à cette offre d’emploi.\nConsultez les vérifications liées à cette offre d’emploi.\nTout afficher'), ('lightbulb', 'Découvrez comment vous vous positionnez par rapport à 49 candidats. Essai Premium pour 0 EUR')]",Selby Jennings,"{'Ville': 'Montreuil', 'Région': 'Île-de-France', 'Pays': 'France'}",(),54%,83%,,"3,6
★★★★★",Découvrez comment vous vous positionnez par rapport à 49 candidats. Essai Premium pour 0 EUR,"Consultez les vérifications liées à cette offre d’emploi.
Consultez les vérifications liées à cette offre d’emploi.
Tout afficher",1 001-5 000 employés · Services professionnels,Compétences : Recherche fondamentale,Hybride Temps plein Manager,,,Selby Jennings,0
3,Consultant Data analytics,3788989616,"[('job', 'Hybride Temps plein'), ('company', '51-200 employés'), ('checklist', 'Compétences : Communication interpersonnelle, Web analytique et 8 en plus'), ('lightbulb', 'Découvrez comment vous vous positionnez par rapport à plus de 100 autres candidats. Essai Premium pour 0 EUR')]","PIXALIONE | SEO, SEA, SMA & DATA","{'Ville': 'Ville de Paris', 'Région': 'Île-de-France', 'Pays': 'France'}",(),None,None,none,None,Découvrez comment vous vous positionnez par rapport à plus de 100 autres candidats. Essai Premium pour 0 EUR,,51-200 employés,"Compétences : Communication interpersonnelle, Web analytique et 8 en plus",Hybride Temps plein,,,"PIXALIONE | SEO, SEA, SMA & DATA",0
4,Data Analyste Tableau (H/F),3800214705,"[('job', 'Hybride Temps plein Confirmé'), ('company', '501-1 000 employés · Services et conseil en informatique'), ('checklist', 'Compétences : Tableau, Compétences analytiques et 8 en plus'), ('verified', 'Consultez les vérifications liées à cette offre d’emploi.\nConsultez les vérifications liées à cette offre d’emploi.\nTout afficher'), ('lightbulb', 'Découvrez comment vous vous positionnez par rapport à plus de 100 autres candidats. Essai Premium pour 0 EUR')]",Meritis,"{'Ville': 'Ville de Paris', 'Région': 'Île-de-France', 'Pays': 'France'}",(),90%,90%,,"4,2
★★★★★",Découvrez comment vous vous positionnez par rapport à plus de 100 autres candidats. Essai Premium pour 0 EUR,"Consultez les vérifications liées à cette offre d’emploi.
Consultez les vérifications liées à cette offre d’emploi.
Tout afficher",501-1 000 employés · Services et conseil en informatique,"Compétences : Tableau, Compétences analytiques et 8 en plus",Hybride Temps plein Confirmé,,,Meritis,0
5,Data Analyst senior (H/F),3785359296,"[('job', 'Hybride Temps plein Manager'), ('company', '51-200 employés · Services et conseil en informatique'), ('checklist', 'Compétences : Compétences analytiques, Autonomie et 8 en plus'), ('lightbulb', 'Découvrez comment vous vous positionnez par rapport à 38 candidats. Essai Premium pour 0 EUR')]",LittleBigCode,"{'Ville': 'Ville de Paris', 'Région': 'Île-de-France', 'Pays': 'France'}",(),87%,93%,,"4,3
★★★★★",Découvrez comment vous vous positionnez par rapport à 38 candidats. Essai Premium pour 0 EUR,,51-200 employés · Services et conseil en informatique,"Compétences : Compétences analytiques, Autonomie et 8 en plus",Hybride Temps plein Manager,,,LittleBigCode,0
6,Consultant(e) Confirmé(e) Quant risque de marché - CDI (H/F),3765442965,"[('job', 'Hybride Temps plein Confirmé'), ('company', '51-200 employés · Services et conseil aux entreprises'), ('checklist', 'Compétences : Risque de marché, Marchés financiers et 8 en plus'), ('verified', 'Consultez les vérifications liées à cette offre d’emploi.\nConsultez les vérifications liées à cette offre d’emploi.\nTout afficher'), ('lightbulb', 'Découvrez comment vous vous positionnez par rapport à 63 candidats. Essai Premium pour 0 EUR')]",Nexialog Consulting,"{'Ville': 'Ville de Paris', 'Région': 'Île-de-France', 'Pays': 'France'}",(),None,None,none,None,Découvrez comment vous vous positionnez par rapport à 63 candidats. Essai Premium pour 0 EUR,"Consultez les vérifications liées à cette offre d’emploi.
Consultez les vérifications liées à cette offre d’emploi.
Tout afficher",51-200 employés · Services et conseil aux entreprises,"Compétences : Risque de marché, Marchés financiers et 8 en plus",Hybride Temps plein Confirmé,,,Nexialog Consulting,0
7,Senior Data Analyst H/F,3783558978,"[('job', 'Sur site Temps partiel Confirmé'), ('company', '501-1 000 employés · Services et conseil en informatique'), ('checklist', 'Compétences : Anglais, Informatique décisionnelle et 8 en plus'), ('verified', 'Consultez les vérifications liées à cette offre d’emploi.\nConsultez les vérifications liées à cette offre d’emploi.\nTout afficher'), ('lightbulb', 'Découvrez comment vous vous positionnez par rapport à plus de 100 autres candidats. Essai Premium pour 0 EUR')]",Meritis,"{'Ville': 'Ville de Paris', 'Région': 'Île-de-France', 'Pays': 'France'}",(),90%,90%,,"4,2
★★★★★",Découvrez comment vous vous positionnez par rapport à plus de 100 autres candidats. Essai Premium pour 0 EUR,"Consultez les vérifications liées à cette offre d’emploi.
Consultez les vérifications liées à cette offre d’emploi.
Tout afficher",501-1 000 employés · Services et conseil en informatique,"Compétences : Tableau, Compétences analytiques et 8 en plus",Hybride Temps plein Confirmé,,,Meritis,0
8,"Senior Data Analyst (Product Team) (Bangkok Based, relocation provided)",3750109674,"[('job', 'Sur site Temps plein Confirmé'), ('company', '5 001-10 000 employés · Développement de logiciels'), ('checklist', 'Compétences : Visualisation de données, Science des données et 8 en plus'), ('verified', 'Consultez les vérifications liées à cette offre d’emploi.\nConsultez les vérifications liées à cette offre d’emploi.\nTout afficher'), ('lightbulb', 'Découvrez comment vous vous positionnez par rapport à 19 candidats. Essai Premium pour 0 EUR')]",Agoda,"{'Ville': 'Chatou', 'Région': 'Île-de-France', 'Pays': 'France'}",(),None,None,none,None,Découvrez comment vous vous positionnez par rapport à plus de 100 autres candidats. Essai Premium pour 0 EUR,"Consultez les vérifications liées à cette offre d’emploi.
Consultez les vérifications liées à cette offre d’emploi.
Tout afficher",501-1 000 employés · Services et conseil en informatique,"Compétences : Anglais, Informatique décisionnelle et 8 en plus",Sur site Temps partiel Confirmé,,,Nexialog Consulting,2
9,"Analyst/Senior Analyst (Analytics, Bangkok-based, Relocation provided)",3750889659,"[('job', 'Temps plein Manager'), ('company', '5 001-10 000 employés · Développement de logiciels'), ('checklist', 'Compétences : Science des données, Informations commerciales et 8 en plus'), ('verified', 'Consultez les vérifications liées à cette offre d’emploi.\nConsultez les vérifications liées à cette offre d’emploi.\nTout afficher'), ('lightbulb', 'Découvrez comment vous vous positionnez par rapport à 10 candidats. Essai Premium pour 0 EUR')]",Agoda,"{'Ville': 'Chatou', 'Région': 'Île-de-France', 'Pays': 'France'}",(),None,None,none,None,Découvrez comment vous vous positionnez par rapport à plus de 100 autres candidats. Essai Premium pour 0 EUR,"Consultez les vérifications liées à cette offre d’emploi.
Consultez les vérifications liées à cette offre d’emploi.
Tout afficher",501-1 000 employés · Services et conseil en informatique,"Compétences : Anglais, Informatique décisionnelle et 8 en plus",Sur site Temps partiel Confirmé,,,Nexialog Consulting,2
