,Company,Rank,Review_score,Date_review,Job,Recommandation,Approb CEO,Perspective,Pros,Cons
0,McDonald's,"3,5","5,0",15 janv. 2024,chef de secteur GMS,None,None,None,titre resto conges payes ambiance,rien horaire management fixe variable tres peu
1,McDonald's,"3,5","2,0",11 déc. 2023,Employé anonyme,None,None,None,"Flexibilité des horaires : McDonald's offre souvent des horaires flexibles, ce qui peut convenir aux étudiants, aux travailleurs à temps partiel ou à ceux qui ont des engagements personnels. Opportunités d'avancement : McDonald's encourage souvent la promotion interne, offrant aux employés la possibilité d'avancer dans leur carrière au sein de l'entreprise. Expérience professionnelle : Travailler au McDonald's peut constituer une première expérience professionnelle pour de nombreux jeunes, offrant des compétences de base en service à la clientèle, en gestion du temps et en travail d'équipe. Avantages sociaux : Certains employés peuvent bénéficier d'avantages sociaux tels que des repas gratuits ou à prix réduit, des assurances, et parfois des programmes de formation.","Conditions de travail exigeantes : Le travail dans un restaurant rapide peut être exigeant physiquement et mentalement, avec des périodes de travail intensives, notamment pendant les heures de pointe. Salaire souvent minimum : Les salaires dans l'industrie de la restauration rapide sont parfois proches du salaire minimum, ce qui peut rendre difficile le maintien d'un niveau de vie décent. Pression du service à la clientèle : Les employés sont souvent confrontés à des clients exigeants et à des situations stressantes, ce qui peut être difficile à gérer. Rotation des tâches : Les employés peuvent être amenés à effectuer différentes tâches, ce qui peut être fatigant et répétitif."
2,McDonald's,"3,5","3,0",18 sept. 2023,Équipier Polyvalent Mac Donald's,good,neutral,neutral,"Acquisition de compétences diverses : Étant polyvalent, vous apprendrez plusieurs fonctions, que ce soit en cuisine, au comptoir, à la caisse ou à la gestion des commandes drive. Adaptabilité : Travailler dans différents rôles renforce l'adaptabilité, ce qui est une compétence précieuse dans de nombreux emplois et situations de la vie. Opportunités d'avancement : Avoir une compréhension de plusieurs postes peut augmenter vos chances de promotion, car vous avez une vision plus globale de l'opération du restaurant. Travail d'équipe : La polyvalence vous permet de travailler en étroite collaboration avec différents membres de l'équipe, renforçant ainsi vos compétences en matière de travail d'équipe. Sécurité de l'emploi : Un employé capable d'assumer plusieurs fonctions est souvent plus précieux pour l'entreprise et peut être moins susceptible d'être licencié. Variété : Changer régulièrement de poste peut rendre le travail plus intéressant et moins monotone.","Pression : La nécessité de maîtriser plusieurs fonctions peut être stressante, surtout pendant les heures de pointe. Formation continue : Avec la mise à jour des procédures ou l'introduction de nouveaux produits, la formation peut être constante. Exigences physiques : Selon les postes que vous occupez, le travail peut être physiquement exigeant, par exemple en restant debout pendant de longues périodes ou en soulevant des objets lourds. Salaire : Malgré la polyvalence, le salaire de départ chez McDonald's peut ne pas refléter la diversité des compétences acquises. Horaire irrégulier : En tant qu'équipier polyvalent, vos heures de travail et vos fonctions peuvent varier considérablement d'une semaine à l'autre. Difficulté de spécialisation : Être polyvalent signifie que vous pourriez ne pas devenir un expert dans une fonction spécifique, car votre attention est divisée entre plusieurs tâches."
3,McDonald's,"3,5","1,0",6 nov. 2023,Employé anonyme,None,None,None,"Expérience professionnelle : Travailler chez McDonald's peut vous offrir une expérience précieuse dans le domaine de la restauration rapide. Vous pouvez acquérir des compétences en service à la clientèle, en gestion du temps et en travail d'équipe. Flexibilité des horaires : McDonald's propose souvent des horaires flexibles, ce qui peut convenir à des étudiants ou à ceux qui ont besoin d'un emploi à temps partiel. Opportunités de croissance : McDonald's encourage la promotion interne. Si vous démarrez en tant que membre d'équipe, il y a la possibilité de progresser vers des postes de supervision ou de gestion. Avantages sociaux : En tant qu'employé, vous pouvez avoir accès à certains avantages sociaux tels que l'assurance maladie, les rabais sur la nourriture, et la formation en cours d'emploi.","Pression et stress : Travailler dans la restauration rapide peut être stressant, surtout pendant les heures de pointe. Les clients peuvent être exigeants, et il peut y avoir une pression pour servir rapidement. Salaire : Les salaires dans l'industrie de la restauration rapide ne sont généralement pas élevés, en particulier pour les employés débutants. Cependant, ils peuvent varier en fonction de la localisation géographique. Travail physique : Le travail chez McDonald's peut être exigeant physiquement, avec beaucoup de temps debout, de mouvements répétitifs, et de tâches de nettoyage. Rotation des horaires : Vous pourriez avoir des horaires irréguliers, y compris les soirs, les week-ends et les jours fériés, ce qui peut affecter votre vie personnelle."
4,McDonald's,"3,5","5,0",7 janv. 2024,employé polyvalente de restauration,good,neutral,neutral,"Assez facile d'obtenir un premier emploi si on est motivé bien sûr. L'équipe est géniale, toujours prêt à vous aider en toute circonstance.","La clientèle peut être un peu rude parfois mais les managers sont là pour vous soutenir et gérer les conflits. Hormis ça, les horaires de close (minuit ou 1h du matin) mais c'est le concept de la marque, il faut s'y préparer."
5,McDonald's,"3,5","5,0",14 janv. 2024,Assistant Manager (McDonalds),None,None,None,Bien payer et très bien organisé,Les horaires parfois sont moins bien
6,McDonald's,"3,5","3,0",15 janv. 2024,Employé anonyme,None,None,None,Bien pour compléter les fins de mois,Clientèle parfois compliqué à gérer
7,McDonald's,"3,5","4,0",15 janv. 2024,Employé anonyme,good,neutral,neutral,Choix des horaires et jours de travail,Horaires de la restauration (9h-1h)
8,McDonald's,"3,5","5,0",13 janv. 2024,Assistant Manager (McDonalds),good,None,good,"Des heures flexibles, deux jours de repos, RTT, repas gratuit",Le salaire est bas par rapport au travail
9,McDonald's,"3,5","2,0",14 janv. 2024,Préparateur De Commande,bad,bad,bad,"Emploi du temps variable, bonne ambiance","Sale, Clients irrespectueux et méchants"
